ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Soph_Aj_37	Sophocles	Ajax	66-67	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:66.1-67.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_38	Sophocles	Ajax	68-69	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:68.1-69.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_39	Sophocles	Ajax	69-70	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:69.4-70.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_40	Sophocles	Ajax	71-72	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:71.1-72.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_41	Sophocles	Ajax	73	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:73.1-73.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_42	Sophocles	Ajax	73	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:73.4-73.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_43	Sophocles	Ajax	74	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:74.1-74.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_44	Sophocles	Ajax	74	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:74.6-74.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_45	Sophocles	Ajax	75	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:75.1-75.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_46	Sophocles	Ajax	76	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:76.1-76.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_47	Sophocles	Ajax	77	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:77.1-77.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_48	Sophocles	Ajax	77	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:77.5-77.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_49	Sophocles	Ajax	78	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:78.1-78.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_50	Sophocles	Ajax	79	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:79.1-79.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_51	Sophocles	Ajax	80	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:80.1-80.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_52	Sophocles	Ajax	81	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:81.1-81.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_53	Sophocles	Ajax	82	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:82.1-82.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_54	Sophocles	Ajax	83	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:83.1-83.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_55	Sophocles	Ajax	84	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:84.1-84.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_56	Sophocles	Ajax	85	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:85.1-85.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_57	Sophocles	Ajax	86	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:86.1-86.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_58	Sophocles	Ajax	87	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:87.1-87.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_59	Sophocles	Ajax	88	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:88.1-88.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_60	Sophocles	Ajax	88	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:88.4-88.10
