ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Aesch_Ag_36	Aeschylus	Agamemnon	122-124	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:122.1-124.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_37	Aeschylus	Agamemnon	125	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:125.1-125.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_38	Aeschylus	Agamemnon	126-130	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:126.1-130.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_39	Aeschylus	Agamemnon	131-133	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:131.1-133.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_40	Aeschylus	Agamemnon	133-138	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:133.3-138.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_41	Aeschylus	Agamemnon	139	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:139.1-139.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_42	Aeschylus	Agamemnon	140-145	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:140.1-145.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_43	Aeschylus	Agamemnon	146-153	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:146.1-153.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_44	Aeschylus	Agamemnon	153-155	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:153.4-155.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_45	Aeschylus	Agamemnon	156-157	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:156.1-157.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_46	Aeschylus	Agamemnon	158-159	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:158.1-159.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_47	Aeschylus	Agamemnon	160-162	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:160.1-162.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_48	Aeschylus	Agamemnon	163-166	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:163.1-166.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_49	Aeschylus	Agamemnon	167-170	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:167.1-170.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_50	Aeschylus	Agamemnon	171-172	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:171.1-172.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_51	Aeschylus	Agamemnon	173-175	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:173.1-175.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_52	Aeschylus	Agamemnon	176-178	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:176.1-178.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_53	Aeschylus	Agamemnon	179-180	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:179.1-180.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_54	Aeschylus	Agamemnon	180-181	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:180.4-181.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_55	Aeschylus	Agamemnon	182-183	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:182.1-183.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_56	Aeschylus	Agamemnon	184-191	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:184.1-191.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_57	Aeschylus	Agamemnon	192-198	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:192.1-198.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_58	Aeschylus	Agamemnon	198-204	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:198.4-204.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_59	Aeschylus	Agamemnon	205	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:205.1-205.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_60	Aeschylus	Agamemnon	206-211	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:206.1-211.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_61	Aeschylus	Agamemnon	211-213	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:211.4-213.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_62	Aeschylus	Agamemnon	214-217	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:214.1-217.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_63	Aeschylus	Agamemnon	217	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:217.4-217.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_64	Aeschylus	Agamemnon	218-221	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:218.1-221.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_65	Aeschylus	Agamemnon	222-223	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:222.1-223.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_66	Aeschylus	Agamemnon	223-227	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:223.5-227.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_67	Aeschylus	Agamemnon	228-230	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:228.1-230.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_68	Aeschylus	Agamemnon	231-237	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:231.1-237.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_69	Aeschylus	Agamemnon	238	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:238.1-238.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_70	Aeschylus	Agamemnon	239-247	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:239.1-247.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_71	Aeschylus	Agamemnon	248	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:248.1-248.10
urn:cite2:gagdt:sentences.v1:Aesch_Ag_72	Aeschylus	Agamemnon	249	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:249.1-249.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_73	Aeschylus	Agamemnon	250-251	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:250.1-251.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_74	Aeschylus	Agamemnon	252	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:252.1-252.10
urn:cite2:gagdt:sentences.v1:Aesch_Ag_75	Aeschylus	Agamemnon	252	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:252.11-252.13
